Team,Coach,Week,Slot,Bench,Position,Player,Franchise,Stats,Fantasy Points,Opponent,Opponent Coach,Year,Game No.,Original Order,Gamecode,Playercode,Against Playercode,Postioncode,,,Team Name,Coach,,,,Coaches,,Position,,Seasons
Crowler's Scowlers,Dee,1,RB2,,RB,L. Miller,HOU,"65 Rush Yds,31 Rec Yds",9.6,A great bunch of lads,Scan,2017,3,63,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,Don't Call it a Comeback,Ciaran,,,,,,,,
Crowler's Scowlers,Dee,1,WR1,,WR,J. Jones,ATL,66 Rec Yds,6.6,A great bunch of lads,Scan,2017,3,64,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,The Bakest Show on Earth,Chris,,,,,,,,
Crowler's Scowlers,Dee,1,WR2,,WR,D. Baldwin,SEA,"63 Rec Yds,-3 Rush Yds",6,A great bunch of lads,Scan,2017,3,65,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,Team Sucks Javonte Kill Myself,Dudley,,,,,,,,
Crowler's Scowlers,Dee,1,TE,,TE,J. Graham,SEA,8 Rec Yds,0.8,A great bunch of lads,Scan,2017,3,66,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,Lamarvelous,Niall,,,,,,,,
Crowler's Scowlers,Dee,1,W/R,,RB,L. Murray,MIN,6 Rush Yds,0.6,A great bunch of lads,Scan,2017,3,67,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,Love's unrelenting embrace,Whytey,,,,,,,,
Crowler's Scowlers,Dee,1,K,,K,J. Tucker,BAL,"2 PAT,2 20-29",8,A great bunch of lads,Scan,2017,3,68,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,Sarah Connor,Catherine,,,,,,,,
Crowler's Scowlers,Dee,1,DEF,,DEF,Bills,DEF,"12 Pts,1 Sck,2 Int",9,A great bunch of lads,Scan,2017,3,69,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,Mississkippy Eagles,Stephen,,,,,,,,
Crowler's Scowlers,Dee,1,BN1,BN,QB,A. Smith,KC,"368 Pass Yds,4 Pass TD,3 Rush Yds",31.02,A great bunch of lads,Scan,2017,3,70,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,The Big Chubawski,Dee,,,,,,,,
Crowler's Scowlers,Dee,1,BN2,BN,WR,R. Matthews,TEN,71 Rec Yds,7.1,A great bunch of lads,Scan,2017,3,71,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,Triple Cheeseburger,Beano,,,,,,,,
Crowler's Scowlers,Dee,1,BN3,BN,WR,K. Allen,LAC,"35 Rec Yds,1 Rec TD",9.5,A great bunch of lads,Scan,2017,3,72,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,FY TB,Dee,,,,,,,,
Crowler's Scowlers,Dee,1,BN4,BN,RB,J. White,NE,"38 Rush Yds,30 Rec Yds",6.8,A great bunch of lads,Scan,2017,3,73,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,Wubbalubbadubdub,Dave,,,,,,,,
Crowler's Scowlers,Dee,1,BN5,BN,RB,C. West,KC,"21 Rush Yds,1 Rush TD,4 Rec Yds",8.5,A great bunch of lads,Scan,2017,3,74,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,i'm-on-a-rolla-gay,Beano,,,,,,,,
Crowler's Scowlers,Dee,1,BN6,BN,DEF,Seahawks,DEF,"17 Pts,4 Sck,1 Int",7,A great bunch of lads,Scan,2017,3,75,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,IM HERE SO I WONT GET FINED,Stephen,,,,,,,,
A great bunch of lads,Scan,1,QB,,QB,D. Carr,LV,"262 Pass Yds,2 Pass TD,2 Rush Yds",18.68,Crowler's Scowlers,Dee,2017,3,76,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,Theshithouseflakes,Dave,,,,,,,,
A great bunch of lads,Scan,1,RB1,,RB,C. Hyde,SF,"45 Rush Yds,32 Rec Yds",7.7,Crowler's Scowlers,Dee,2017,3,77,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,,,,,,,,,,
A great bunch of lads,Scan,1,RB2,,RB,J. Howard,CHI,"52 Rush Yds,1 Rush TD,14 Rec Yds",12.6,Crowler's Scowlers,Dee,2017,3,78,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,,,,,,,,,,
A great bunch of lads,Scan,1,WR1,,WR,A. Robinson,JAX,17 Rec Yds,1.7,Crowler's Scowlers,Dee,2017,3,79,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,,,,,,,,,,
A great bunch of lads,Scan,1,WR2,,WR,T. Hill,KC,"133 Rec Yds,1 Rec TD,5 Rush Yds",19.8,Crowler's Scowlers,Dee,2017,3,80,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,,,,,,,,,,
A great bunch of lads,Scan,1,TE,,TE,T. Eifert,CIN,4 Rec Yds,0.4,Crowler's Scowlers,Dee,2017,3,81,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,,,,,,,,,,
A great bunch of lads,Scan,1,W/R,,RB,T. Riddick,DET,"-1 Rush Yds,27 Rec Yds,1 Rec TD",8.6,Crowler's Scowlers,Dee,2017,3,82,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,,,,,,,,,,
A great bunch of lads,Scan,1,K,,K,M. Prater,DET,"2 PAT,1 50+",7,Crowler's Scowlers,Dee,2017,3,83,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,,,,,,,,,,
A great bunch of lads,Scan,1,DEF,,DEF,Patriots,DEF,"42 Pts,3 Sck,1 Fum",1,Crowler's Scowlers,Dee,2017,3,84,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,,,,,,,,,,
